Year,EC,PV,label,index,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Unemployment
2020,0.5688,0.5131,0,61,331526933,0.968999516,9831510.0,21424800000000.0,64620.0,21458100000000.0,64720.0,5.7,76.9804878,1.6415,14.719,99.1,6.4,91.0,3097950.0,44.38288207,6872.027284,12964.18794,21354100000000.0,-2.163029139,1.328832738,10.07365563,13.00612224,21.41881854,17.74639724,194.6691831,3.696009828,104.9353748,17.9444046,100.0,329769,66126000000.0,137066000000.0,64411.37318,145265000000.0,1.233584396,8.091666666666667
2016,0.569,0.462,1,57,323071755,0.724676067,9831510.0,18433900000000.0,57060.0,18983400000000.0,58760.0,5.3,78.53902439,1.8205,20.08,99.1,6.7,92.0,3100950.0,41.91730643,6872.027284,12964.18794,18804900000000.0,1.819451475,0.950322479,11.88815923,14.56443856,20.88795625,18.54082122,145.4524183,3.422587975,103.3702501,19.6819044,100.0834725,1889129,62870000000.0,474388000000.0,58206.61419,-174573000000.0,1.261583206,4.875
2012,0.617,0.511,0,53,313877662,0.733599941,9831510.0,16537800000000.0,52690.0,16640300000000.0,53020.0,5.3,78.74146341,1.8805,29.387,99.3,7.1,91.0,3092700.0,39.56423006,6872.027284,12964.18794,16254000000000.0,2.289113388,1.862164928,13.64405127,17.03778831,19.95072588,16.74773978,114.8539908,4.46170997,96.26929679,23.88479245,94.68085106,1632007,52371000000.0,250345000000.0,51784.41147,126895000000.0,2.069337265,8.075
2008,0.678,0.529,0,49,304093966,0.945865287,9831510.0,14935200000000.0,49110.0,14723900000000.0,48420.0,5.3,78.03902439,2.072,40.059,99.3,7.6,92.0,3076832.0,36.8879903,7488.081921,13663.42797,14769900000000.0,0.113587248,1.926709699,12.42584392,17.4419436,21.03748837,17.71314993,78.47248525,4.446595522,85.47738005,23.40528977,91.79716629,1416841,55679000000.0,341092000000.0,48570.05943,2491000000.0,3.839100297,5.8
2004,0.532,0.507,1,45,292805298,0.925483969,9632030.0,12744300000000.0,43520.0,12322000000000.0,42080.0,5.4,77.48780488,2.0515,40.173,99.3,8.1,93.0,3056096.0,31.48046094,7881.578642,13388.58971,12217200000000.0,3.847771692,2.689087603,9.628747873,14.81930878,22.65214539,16.84343445,133.6127073,4.016312736,62.87475074,19.15787387,101.2707722,1313467,44357000000.0,213641000000.0,41724.6412,160363000000.0,2.677236693,5.541666666666667
2000,0.504,0.479,1,41,282162411,1.112768997,9632030.0,10147900000000.0,35960.0,10385200000000.0,36810.0,5.6,76.63658537,2.056,47.501,99.4,8.5,91.0,3035360.0,28.97081229,8056.86385,13671.05202,10251000000000.0,4.077585758,2.265195177,10.69277273,14.41021283,23.67836665,20.57613771,147.3790044,3.112242147,38.76720665,19.91247252,100.0,1248392,34397000000.0,349125000000.0,36329.97026,-162755000000.0,3.376857271,3.966666666666667
1996,0.704,0.492,0,37,269394000,1.16341162,9629090.0,8155410000000.0,30270.0,8046960000000.0,29870.0,5.5,76.02682927,1.976,52.583,99.4,9.2,91.0,3031016.0,24.51234258,7844.468266,12854.29891,8073120000000.0,3.772772686,1.830764559,10.74663556,11.94043643,21.70181499,18.95214763,105.0460652,3.554982206,16.37381226,17.92488705,103.4482759,1141648,23723200000.0,97660000000.0,29967.71272,5360000000.0,2.9312042,5.408333333333334
1992,0.688,0.43,0,33,256514000,1.386885692,9629090.0,6587480000000.0,25680.0,6435890000000.0,25090.0,5.6,75.61707317,2.046,59.872,99.3,10.5,83.0,3026672.0,21.67727239,7677.401401,12014.95825,6520330000000.0,3.522497184,2.278854346,9.708914906,10.2416796,20.077582,17.648348,69.71803715,4.970466808,4.323596882,15.36864639,103.6036036,1304880,16156300000.0,30310000000.0,25418.99078,28460000000.0,3.028819678,7.491666666666667
1988,0.792,0.534,1,29,244499000,0.90799904,9629090.0,5744220000000.0,23490.0,6435890000000.0,25090.0,5.7,74.76585366,1.934,54.55,99.3,11.9,98.0,3026672.0,19.47837442,7849.75397,11298.33251,5236440000000.0,4.176982398,3.527499859,8.49052352,10.57957719,22.82780776,18.38215214,53.08839138,6.071277702,0.854125086,14.93324279,103.960396,460778,9005000000.0,56910000000.0,21417.01193,-35209000000.0,4.077741107,5.491666666666667
1984,0.976,0.588,1,25,235825000,0.865817336,9629090.0,3821850000000.0,16210.0,6435890000000.0,25090.0,5.7,74.56341463,1.8065,51.939,99.3,13.0,98.0,3026672.0,16.05985514,7443.320017,10282.37464,4037610000000.0,7.236453159,3.607879313,7.489078324,10.0333291,25.09581775,17.79070951,39.68086342,6.23641653,0.039352779,14.125648,91.86046512,622793,5990000000.0,25230000000.0,17121.22548,-12410000000.0,4.300535475,7.508333333333333
1980,0.909,0.507,1,21,227225000,0.959589923,9629090.0,3041560000000.0,13390.0,6435890000000.0,25090.0,6.5,73.6097561,1.8395,54.872,99.3,15.0,86.0,3026672.0,13.64474783,7942.253018,9862.365497,2857310000000.0,-0.256775732,9.033105388,9.82645547,10.28338922,23.31027082,19.10470243,47.59018894,5.153537467,0.0,16.88831477,96.7032967,595916,1360000000.0,16740000000.0,12574.79151,2300000000.0,13.54920197,7.175
1976,0.552,0.501,0,17,218035000,0.950220049,9629090.0,1954010000000.0,8960.0,6435890000000.0,25090.0,6.2,72.85609756,1.738,54.143,99.3,17.9,86.0,3026672.0,13.64474783,8100.562222,8968.775655,1873410000000.0,5.388033896,5.503491913,7.980892617,8.067953018,22.03839839,16.6033953,47.13858991,5.191071429,0.0,13.30678996,96.7032967,635590,650000000.0,2910000000.0,8592.253537,8410000000.0,5.744812635,7.7
1972,0.967,0.607,1,13,209896000,1.070522752,9629090.0,1317520000000.0,6280.0,6435890000000.0,25090.0,5.9,71.15609756,2.01,62.025,99.3,21.5,86.0,3026672.0,13.64474783,7940.997832,8076.409269,1279110000000.0,5.255501951,4.32612666,5.538460336,5.802159314,22.58062246,16.72178311,47.13858991,6.519756924,0.0,8.448139722,96.7032967,833543,670000000.0,1270000000.0,6094.01799,6060000000.0,3.272278247,5.6000000000000005
1968,0.559,0.434,1,9,200706000,0.998461044,9629090.0,945048000000.0,4710.0,6435890000000.0,25090.0,6.1,69.95121951,2.464,66.534,99.3,24.9,86.0,3026672.0,13.64474783,7073.478949,6385.459329,940225000000.0,4.8,4.367188241,5.538460336,5.802159314,22.58062246,16.72178311,47.13858991,9.268454275,0.0,7.382594592,96.7032967,594514,670000000.0,1270000000.0,4684.588403,6060000000.0,4.271796153,3.5583333333333336
1964,0.903,0.611,0,5,191889000,1.389046055,9629090.0,687248000000.0,3580.0,6435890000000.0,25090.0,5.7,70.16585366,3.19,70.882,99.3,27.7,86.0,3026672.0,13.64474783,6136.93823,4970.446456,684145000000.0,5.8,1.503939679,5.538460336,5.802159314,22.58062246,16.72178311,47.13858991,8.051281106,0.0,6.723139905,96.7032967,618635,670000000.0,1270000000.0,3565.31443,6060000000.0,1.278911565,5.158333333333333
1960,0.564,0.497,0,1,180671000,1.389046055,9629090.0,687248000000.0,3580.0,6435890000000.0,25090.0,5.7,69.77073171,3.654,88.011,99.3,30.1,86.0,3026672.0,13.64474783,5641.740755,4049.786629,541989000000.0,5.8,1.503939679,5.538460336,5.802159314,22.58062246,16.72178311,47.13858991,8.993124587,0.0,6.641652779,96.7032967,422708,670000000.0,1270000000.0,2999.864872,6060000000.0,1.457975986,5.541666666666667
